id,para_a,para_b,para_c,para_d,para_e,sentence,sentence2,sentence3,illustrator
0,20,36,55,84,95,The Fool(Upright),愚者(正位置),愚者のカード(正位置),ロジ
1,73,100,10,56,77,The Magician(Upright),魔術師(正位置),奇術師や魔術師を表しているカードで、元の絵札に忠実になるように描きました。ペテン師を表している説もあり、そっちで描いた方が楽しかったかもしれません(笑)正位置で独創力・空想力を示すそうです。,やまろ
2,84,90,87,77,64,The High Priestess(Upright),女教皇(正位置),正位置の女教皇は真面目・聡明・安らぎを意味します。今まで蓄えた知識や経験から冷静に物事を判断できる予感、アリです。白と黒、長所と短所のどちらも受け入れることでスマート・エレガント・ヒューマンになれるのでは？,サカモト
3,55,30,50,100,16,The Empress(Upright),女帝(正位置),このカードは｢繁栄｣｢豊穣｣を表しています。つまりあなたの今日の運勢は｢落ち着いて行動すれば、心が大きな幸せに満たされる｣です。最高ですね。女帝のような余裕のある広い心を持って行動するのが吉。余裕のない女帝なんて女帝じゃありません。今日は資産5000億円の女帝気分で過ごしましょう。,aozam
4,66,40,50,0,15,The Emperor(Upright),皇帝(正位置),"正位置の4番 THE EMPEROR 皇帝 を引いた今日のあなたは成功を収めることになるでしょう！ このカードは成功、高い地位や権威、強い支配力、情熱、欲望、闘争を表します。 本日は圧倒的なカリスマのパワーでこの世を支配してください！",サ^n
5,70,55,58,44,50,The Hierophant(Upright),教皇(正位置),このカード、教皇の正位置は余裕、慈愛、優しさなどを意味します。今問題を抱えているなら、落ち着いて状況を整理してみると解決策が見つかるかも？また、周囲の忠告などを聞き入れることで視野や将来の可能性が広がるかも！ところで神聖な美少年っていいですよね。そういう絵です。,Rim
6,55,58,67,55,50,The Lovers(Upright),恋人(正位置), 大きな選択を迫られる予感…！！！ですが自信をもって決断することで成功を勝ち取れるっぽいです！！！！！めっちゃいいと思います(語彙力)恋愛運も良い感じなんじゃないでしょうか…！？？？好きな人がいる方は告白も良い…かも！！(結果については自己責任で…はい),かずみ
7,76,67,84,66,58,The Chariot(Upright),戦車(正位置),中世の鎧と少年が好きなので古代ローマの征服者を表す元の絵札と違うテイストに仕上がりました。元絵は下半身が埋まっていて、そこにも意味があるそうです。正位置で勝利・成功を示すそうです。分かりやすいですね！縁起良さげなので何かにチャレンジしてみると良いかもしれません。,やまろ
8,84,84,90,70,67,Strength(Upright),力(正位置),力のカード(正位置),藤汐
9,34,90,35,55,44,The Hermit(Upright),隠者(正位置),"知識を与えよう。ありとあらゆる本の頁を貸してあげよう。
しかし気をつけること。知識は知恵と同一ではない。知恵無き知識は虚となりうる。
だが案ずることはない。君の心は今澄み切っている。
自らの力で知恵を編み上げて。あらゆる探究は君の味方だ。

胡散臭いと見せかけて人臭い賢者キャラが性癖だ……
",ここなつ
10,28,35,71,76,55,Wheel of Fortune(Upright),運命の輪(正位置),"運命は回る。望もうと望まざると。善くも悪くも。
それは当然。けれどあなたは知るためにここに来た。
ならば希望すること。目前に現れる全てに注意を払うこと。幸福をもたらすあらゆるものを見出し、受け入れること。
ご武運を。あなたの車輪が善き力で回り続けますように。

剣の光沢がうまくいって嬉しい",ここなつ
11,80,71,84,84,66,Justice(Upright),正義(正位置),正義っていいですよね。正しくあること、かっこいいですよね。何に対しても、誤魔化さずにまっすぐ見据えて判断して、間違わず行動したいものです。誠実に、平等に生きていることはきっと評価されるはずですよね。剣を持つのは、暴力のためなどではありません。「正義」が広がりますように。,ろろ
12,75,84,44,40,70,The Hanged Man(Upright),吊された男(正位置),正位置の12番 THE HANGED MAN 吊るされた男 を引いたあなたは視点を変えて新しい発見ができる1日になるでしょう！このカードは自らの失敗から目をそらさず受け入れることで新しい道が切り開かれることを暗示しています。⚠︎地獄のような絵になってしまったのは趣味の関係です⚠︎,サ^n
13,73,85,55,55,55,Death(Upright),死神のカード(正位置),呪われし赤目の死神に魅入られたあなたが辿る運命は最悪と言えるでしょう。 魂を狩られぬよう気をつけて…………,エディ
14,57,93,66,58,76,Temperance(Upright),節制(正位置),"赤翼の天使が統べる水の移動は「調和」と「自制」の精神の象徴。古代ギリシア時代のσωφροσύνη（ソープロシュネー）、プラトンの記したΧαρμίδης（カルミデス）、枢要徳、そして七元徳。常に人間は「節制」と対峙してきた。 落ち着いて流れを見極めろ。自然な安定と管理は貴方に良好な状況を選択させる。",fuchi
15,83,40,70,67,84,The Devil(Upright),悪魔(正位置),「悪魔のささやき」などのような言葉にも使用されている悪魔の正位置。そんな悪魔のささやきによって楽な方へ、楽な方へと流されてぬるま湯に浸かり、現状に満足していないでしょうか。それではどんどんと悪循環に陥っていきます。そんな自分の現状に気付くことがとても大事です。,ゆーが
16,20,36,55,84,95,The Tower(Upright),塔(正位置),正位置が出た貴方は今まで積み重ねてきたものの崩壊・八方塞がり・自身の言動が原因で災いを招くことになるでしょう。まるで私みたい。タロット占いで最凶です（笑）。状況によっては何とかなりますが、どうにもならないことが多々あるでしょう。まぁ、潔く諦めてください。人生どうにもならないことぐらいあります。,ごぼぬん
